timestamp_coleta,T_MF4_IN,T_MF4_OUT,T_MM2_IN,T_MM2_OUT,T_BOILER100,T_BOILER200,T_IN,Sinal_Vazao1
2025-05-20 21:07:34.977578,29.7,26.06,27.0,27.29,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:36.156307,21.08,27.7,27.93,27.48,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:37.141846,23.1,26.15,27.15,27.63,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:38.268364,21.89,27.34,27.4,27.31,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:39.224144,25.49,26.11,26.94,27.8,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:40.247858,26.81,26.79,27.44,27.24,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:41.329174,21.85,26.19,27.7,27.02,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:42.407963,27.86,26.62,27.21,27.61,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:43.406140,22.06,27.73,27.46,27.04,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:44.639716,24.84,26.29,26.89,27.72,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:45.678515,27.62,26.63,27.19,27.29,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:46.666782,21.59,26.29,27.84,27.39,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:47.672984,27.89,26.74,26.93,27.54,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:48.658250,29.1,26.97,26.87,27.56,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:49.665551,26.2,26.89,27.2,27.18,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:50.649197,28.02,26.73,27.05,27.16,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:51.669143,24.64,27.23,27.8,27.13,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:53.018753,27.36,26.05,27.23,27.64,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:54.035416,29.12,27.06,26.93,26.96,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:55.217680,19.9,26.57,27.7,27.63,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:57.194603,25.45,27.07,27.65,27.15,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:58.137401,28.57,26.04,27.79,27.7,-100.0,-100.0,-100.0,1.0
2025-05-20 21:07:59.148909,29.97,26.24,27.09,27.3,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:00.239281,21.99,26.25,27.86,27.44,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:01.324085,24.33,26.11,26.96,27.59,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:02.310888,22.14,27.68,27.44,27.07,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:03.319504,24.08,26.38,26.94,27.71,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:04.330422,27.79,26.58,27.08,27.85,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:05.348182,22.73,26.94,27.26,27.05,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:06.409387,20.93,26.1,27.97,27.65,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:07.432885,22.67,26.03,27.72,27.55,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:08.493551,27.94,26.8,27.28,27.12,-100.0,-100.0,-100.0,1.0
2025-05-20 21:08:09.586714,20.78,27.48,27.55,27.06,-100.0,-100.0,-100.0,1.0
